Date,Sales
2021-01-01,195.0
2021-01-02,211.00058313417156
2021-01-03,185.9986603232608
2021-01-04,206.99173189828622
2021-01-05,219.97731072674998
2021-01-06,189.95292844162273
2021-01-07,197.91614162333107
2021-01-08,203.8645379192643
2021-01-09,212.79574208547442
2021-01-10,199.70742193543805
2021-01-11,207.5972941809819
2021-01-12,196.4631301507427
2021-01-13,215.30276137184055
2021-01-14,216.11408500078585
2021-01-15,204.8950690900185
2021-01-16,221.64375767688932
2021-01-17,195.35827568233853
2021-01-18,204.0368336070023
2021-01-19,207.6777320129866
2021-01-20,218.27936578008305
2021-01-21,244.84022812576802
2021-01-22,221.35891437891615
2021-01-23,194.83412549777776
2021-01-24,184.26467132340878
2021-01-25,213.64947356040565
2021-01-26,233.98756847747953
2021-01-27,210.27810932110648
2021-01-28,201.5203684362088
2021-01-29,231.71373908855577
2021-01-30,228.85773698432033
2021-01-31,231.95200148298557
2021-02-01,213.9962965005632
2021-02-02,237.9905111008625
2021-02-03,212.93465977332806
2021-02-04,211.8288823967514
2021-02-05,229.6734438889465
2021-02-06,239.46873354326738
2021-02-07,200.21526405362874
2021-02-08,229.913670230472
2021-02-09,230.5647074108923
2021-02-10,219.1692495669084
2021-02-11,209.72828711661302
2021-02-12,239.24292444368612
2021-02-13,212.71437713148293
2021-02-14,204.14396891862398
2021-02-15,206.5331283837123
2021-02-16,240.88338536747995
2021-02-17,219.19636714132577
2021-02-18,227.47379433183892
2021-02-19,233.71747661151608
2021-02-20,203.92930816646455
2021-02-21,199.11126295244225
2021-02-22,207.26538975111575
2021-02-23,190.39380703891828
2021-02-24,237.49869768135784
2021-02-25,208.58230346606422
2021-02-26,200.6469194882663
2021-02-27,243.69488840276125
2021-02-28,204.72859455677175
2021-03-01,194.75045801838482
2021-03-02,206.7629285155287
2021-03-03,170.7684793006667
2021-03-04,223.76960095657455
2021-03-05,182.76879515871406
2021-03-06,205.76856840982535
2021-03-07,185.77142576242932
2021-03-08,190.7798645449621
2021-03-09,200.7963681072543
2021-03-10,171.8233996010196
2021-03-11,185.86339581092903
2021-03-12,199.91876105172136
2021-03-13,191.9918611466337
2021-03-14,197.08501750223354
2021-03-15,198.2005012944917
2021-03-16,217.34052778065703
2021-03-17,181.50725075117867
2021-03-18,212.70275713557103
2021-03-19,175.9290617757307
2021-03-20,201.18810237979613
